date,price
15/10/2025,4000.0
15/10/2025,6000.0
15/10/2025,3500.0
15/10/2025,2500.0
15/10/2025,3500.0
15/10/2025,3400.0
15/10/2025,23500.0
15/10/2025,3400.0
15/10/2025,2670.0
15/10/2025,2735.0
15/10/2025,1250.0
15/10/2025,4215.0
15/10/2025,2490.0
15/10/2025,2485.0
15/10/2025,9350.0
15/10/2025,1600.0
15/10/2025,1875.0
15/10/2025,1800.0
15/10/2025,1500.0
15/10/2025,1500.0
15/10/2025,6699.0
15/10/2025,1320.0
15/10/2025,1320.0
15/10/2025,1200.0
15/10/2025,1400.0
15/10/2025,1200.0
15/10/2025,1500.0
15/10/2025,5400.0
15/10/2025,1600.0
15/10/2025,3000.0
15/10/2025,1500.0
15/10/2025,3800.0
15/10/2025,5000.0
15/10/2025,2600.0
15/10/2025,2509.0
15/10/2025,2460.0
15/10/2025,1965.0
15/10/2025,3400.0
15/10/2025,2000.0
15/10/2025,2455.0
15/10/2025,3800.0
15/10/2025,2800.0
15/10/2025,5000.0
15/10/2025,2500.0
15/10/2025,2501.0
15/10/2025,3950.0
15/10/2025,2450.0
15/10/2025,5700.0
15/10/2025,2445.0
15/10/2025,1900.0
15/10/2025,2531.0
15/10/2025,2500.0
15/10/2025,5180.0
15/10/2025,2551.0
15/10/2025,6460.0
15/10/2025,2475.0
15/10/2025,2475.0
15/10/2025,1810.0
15/10/2025,5280.0
15/10/2025,2450.0
15/10/2025,2450.0
15/10/2025,2469.0
15/10/2025,2460.0
15/10/2025,4450.0
15/10/2025,2605.0
15/10/2025,2459.0
15/10/2025,5000.0
15/10/2025,7300.0
15/10/2025,8700.0
15/10/2025,1800.0
15/10/2025,4000.0
15/10/2025,3500.0
15/10/2025,1876.0
15/10/2025,5401.0
15/10/2025,1899.0
15/10/2025,405.0
15/10/2025,1800.0
15/10/2025,1700.0
15/10/2025,5100.0
15/10/2025,4000.0
15/10/2025,2644.0
15/10/2025,3900.0
15/10/2025,1900.0
15/10/2025,2500.0
15/10/2025,2650.0
15/10/2025,1600.0
15/10/2025,1700.0
15/10/2025,1600.0
15/10/2025,2571.0
15/10/2025,4900.0
15/10/2025,4090.0
15/10/2025,7225.0
15/10/2025,1950.0
15/10/2025,5235.0
15/10/2025,2160.0
15/10/2025,6650.0
15/10/2025,2725.0
15/10/2025,5190.0
15/10/2025,4900.0
15/10/2025,7601.0
15/10/2025,1050.0
15/10/2025,950.0
15/10/2025,4686.0
15/10/2025,3790.0
15/10/2025,4000.0
15/10/2025,2475.0
15/10/2025,2250.0
15/10/2025,3000.0
15/10/2025,3000.0
15/10/2025,6700.0
15/10/2025,6301.0
15/10/2025,2518.0
15/10/2025,6600.0
15/10/2025,3970.0
15/10/2025,4000.0
15/10/2025,5151.0
15/10/2025,4303.0
15/10/2025,4000.0
15/10/2025,4000.0
15/10/2025,22900.0
15/10/2025,4500.0
15/10/2025,600.0
15/10/2025,600.0
15/10/2025,500.0
15/10/2025,5455.0
15/10/2025,3000.0
15/10/2025,3900.0
15/10/2025,2490.0
15/10/2025,2621.0
15/10/2025,2000.0
15/10/2025,2850.0
15/10/2025,6325.0
15/10/2025,7045.0
15/10/2025,4705.0
15/10/2025,2510.0
15/10/2025,1700.0
15/10/2025,2460.0
15/10/2025,2350.0
15/10/2025,2350.0
15/10/2025,892.0
15/10/2025,700.0
15/10/2025,1052.0
15/10/2025,4021.0
15/10/2025,2305.0
15/10/2025,5850.0
15/10/2025,2000.0
15/10/2025,7842.0
15/10/2025,2514.0
15/10/2025,5201.0
15/10/2025,1400.0
15/10/2025,6950.0
15/10/2025,6950.0
15/10/2025,2520.0
15/10/2025,2525.0
15/10/2025,1675.0
15/10/2025,1800.0
15/10/2025,1900.0
15/10/2025,6770.0
15/10/2025,2545.0
15/10/2025,6700.0
15/10/2025,3680.0
15/10/2025,6805.0
15/10/2025,1300.0
15/10/2025,2625.0
15/10/2025,7800.0
15/10/2025,6900.0
15/10/2025,2400.0
15/10/2025,4100.0
15/10/2025,2405.0
15/10/2025,6000.0
15/10/2025,5201.0
15/10/2025,2800.0
15/10/2025,5999.0
15/10/2025,1880.0
15/10/2025,100.0
15/10/2025,9001.0
15/10/2025,4251.0
15/10/2025,4251.0
15/10/2025,3800.0
15/10/2025,2545.0
15/10/2025,2500.0
15/10/2025,4900.0
15/10/2025,2500.0
15/10/2025,6700.0
15/10/2025,7512.0
15/10/2025,3450.0
15/10/2025,3950.0
15/10/2025,2477.0
15/10/2025,1841.0
15/10/2025,2400.0
15/10/2025,6201.0
15/10/2025,5300.0
15/10/2025,3851.0
15/10/2025,2330.0
15/10/2025,1502.0
15/10/2025,5750.0
15/10/2025,5200.0
15/10/2025,2621.0
15/10/2025,2430.0
15/10/2025,5765.0
15/10/2025,4900.0
15/10/2025,6000.0
15/10/2025,2530.0
15/10/2025,2451.0
15/10/2025,3735.0
15/10/2025,2550.0
15/10/2025,5400.0
15/10/2025,2429.0
15/10/2025,6000.0
15/10/2025,5000.0
15/10/2025,3900.0
15/10/2025,3935.0
15/10/2025,6855.0
15/10/2025,5180.0
15/10/2025,6160.0
15/10/2025,6180.0
15/10/2025,2525.0
15/10/2025,3400.0
15/10/2025,710.0
15/10/2025,4100.0
15/10/2025,6480.0
15/10/2025,6480.0
15/10/2025,3900.0
15/10/2025,4815.0
15/10/2025,1000.0
15/10/2025,3000.0
15/10/2025,3971.0
15/10/2025,130000.0
15/10/2025,1600.0
15/10/2025,1400.0
15/10/2025,1500.0
15/10/2025,2600.0
15/10/2025,1500.0
15/10/2025,2600.0
15/10/2025,2000.0
15/10/2025,401.0
15/10/2025,6990.0
15/10/2025,3800.0
15/10/2025,2450.0
15/10/2025,5210.0
15/10/2025,2400.0
15/10/2025,3860.0
15/10/2025,2411.0
15/10/2025,4562.0
15/10/2025,2950.0
15/10/2025,6350.0
15/10/2025,1605.0
15/10/2025,5500.0
15/10/2025,2480.0
15/10/2025,5255.0
15/10/2025,5110.0
15/10/2025,2440.0
15/10/2025,2450.0
15/10/2025,5200.0
15/10/2025,4965.0
15/10/2025,3900.0
15/10/2025,4066.0
15/10/2025,5200.0
15/10/2025,4000.0
15/10/2025,1200.0
15/10/2025,900.0
15/10/2025,2500.0
15/10/2025,1100.0
15/10/2025,5800.0
15/10/2025,2400.0
15/10/2025,2240.0
15/10/2025,3100.0
15/10/2025,2500.0
15/10/2025,5761.0
15/10/2025,1880.0
15/10/2025,4000.0
15/10/2025,5000.0
15/10/2025,4160.0
15/10/2025,1751.0
15/10/2025,3900.0
15/10/2025,4900.0
15/10/2025,2400.0
15/10/2025,2800.0
15/10/2025,4500.0
15/10/2025,1000.0
15/10/2025,4100.0
15/10/2025,4190.0
15/10/2025,1890.0
15/10/2025,2475.0
15/10/2025,5000.0
15/10/2025,1950.0
15/10/2025,4851.0
15/10/2025,7071.0
15/10/2025,1531.0
15/10/2025,1400.0
15/10/2025,4100.0
15/10/2025,5651.0
15/10/2025,1649.0
15/10/2025,1500.0
15/10/2025,6572.0
15/10/2025,760.0
15/10/2025,4000.0
15/10/2025,6970.0
15/10/2025,3700.0
15/10/2025,3500.0
15/10/2025,8401.0
15/10/2025,1551.0
15/10/2025,6001.0
15/10/2025,2496.0
15/10/2025,2500.0
15/10/2025,6400.0
15/10/2025,100.0
15/10/2025,1400.0
15/10/2025,4000.0
15/10/2025,4000.0
15/10/2025,6381.0
15/10/2025,5020.0
15/10/2025,1750.0
15/10/2025,2300.0
15/10/2025,3500.0
15/10/2025,3200.0
15/10/2025,2100.0
15/10/2025,1265.0
15/10/2025,2450.0
15/10/2025,2450.0
15/10/2025,2430.0
15/10/2025,6050.0
15/10/2025,4505.0
15/10/2025,2405.0
15/10/2025,5000.0
15/10/2025,2480.0
15/10/2025,2480.0
15/10/2025,5000.0
15/10/2025,4200.0
15/10/2025,2441.0
15/10/2025,4000.0
15/10/2025,2500.0
15/10/2025,4000.0
15/10/2025,2400.0
15/10/2025,6100.0
15/10/2025,4307.0
15/10/2025,4800.0
15/10/2025,3700.0
15/10/2025,2400.0
15/10/2025,5799.0
15/10/2025,800.0
15/10/2025,1025.0
15/10/2025,4200.0
15/10/2025,2300.0
15/10/2025,5300.0
15/10/2025,2500.0
15/10/2025,2540.0
15/10/2025,2410.0
15/10/2025,4035.0
15/10/2025,3700.0
15/10/2025,4800.0
15/10/2025,2980.0
15/10/2025,1900.0
15/10/2025,2900.0
15/10/2025,3800.0
15/10/2025,2650.0
15/10/2025,1600.0
15/10/2025,4020.0
15/10/2025,2528.0
15/10/2025,2100.0
15/10/2025,3500.0
15/10/2025,1000.0
15/10/2025,2000.0
15/10/2025,18.0
15/10/2025,1300.0
15/10/2025,1500.0
15/10/2025,2500.0
15/10/2025,4000.0
15/10/2025,1100.0
15/10/2025,10000.0
15/10/2025,800.0
15/10/2025,1250.0
15/10/2025,11000.0
15/10/2025,4700.0
15/10/2025,1400.0
15/10/2025,2520.0
15/10/2025,6688.0
15/10/2025,6975.0
15/10/2025,8700.0
15/10/2025,1775.0
15/10/2025,3250.0
15/10/2025,3300.0
15/10/2025,6500.0
15/10/2025,2100.0
15/10/2025,6256.0
15/10/2025,5000.0
15/10/2025,3801.0
15/10/2025,2508.0
15/10/2025,2425.0
15/10/2025,5000.0
15/10/2025,3900.0
15/10/2025,5661.0
15/10/2025,3555.0
15/10/2025,2400.0
15/10/2025,2500.0
15/10/2025,3000.0
15/10/2025,2860.0
15/10/2025,4000.0
15/10/2025,1250.0
15/10/2025,9000.0
15/10/2025,600.0
15/10/2025,2200.0
15/10/2025,3050.0
15/10/2025,2651.0
15/10/2025,4151.0
15/10/2025,2621.0
15/10/2025,4000.0
15/10/2025,2000.0
15/10/2025,6000.0
15/10/2025,7800.0
15/10/2025,2270.0
15/10/2025,8500.0
15/10/2025,1800.0
15/10/2025,2300.0
15/10/2025,1550.0
15/10/2025,800.0
15/10/2025,2850.0
15/10/2025,2650.0
15/10/2025,2850.0
15/10/2025,3850.0
15/10/2025,2650.0
15/10/2025,1200.0
15/10/2025,1700.0
15/10/2025,3000.0
15/10/2025,2000.0
15/10/2025,775.0
15/10/2025,1200.0
15/10/2025,3000.0
15/10/2025,4000.0
15/10/2025,1500.0
15/10/2025,1321.0
15/10/2025,5500.0
15/10/2025,4000.0
15/10/2025,2071.0
15/10/2025,7100.0
15/10/2025,7000.0
15/10/2025,4060.0
15/10/2025,4600.0
15/10/2025,102500.0
15/10/2025,3500.0
15/10/2025,2600.0
15/10/2025,6100.0
15/10/2025,7800.0
15/10/2025,7500.0
15/10/2025,4500.0
15/10/2025,3100.0
15/10/2025,182500.0
15/10/2025,2300.0
15/10/2025,4300.0
15/10/2025,4700.0
15/10/2025,10500.0
15/10/2025,5700.0
15/10/2025,8500.0
15/10/2025,5450.0
15/10/2025,2200.0
15/10/2025,1800.0
15/10/2025,20500.0
15/10/2025,4000.0
15/10/2025,1750.0
